300,0,0,0,M212,10
0,0,0,90,R31,9
490,0,0,0,R31,10
0,0,0,72,R32,9
450,0,0,0,R32,10
0,0,0,63,R33,9
450,0,0,0,R33,10
0,0,0,78,R34,9
295,0,0,0,R34,10
0,0,0,58,R35,9
270,0,0,0,R35,10
0,0,0,63,S36,9
225,0,0,0,S36,10
0,0,0,58,S37,9
240,0,0,0,S37,10
0,0,0,50,S38,9
250,0,0,0,S38,10
0,0,0,59,S39,9
215,0,0,0,S39,10
0,0,0,48,S310,9
205,0,0,0,S310,10
0,0,0,63,M311,9
440,0,0,0,M311,10
0,0,0,77,R41,9
530,0,0,0,R41,10
0,0,0,74,R42,9
500,0,0,0,R42,10
0,0,0,62,R43,9
400,0,0,0,R43,10
0,0,0,62,R44,9
310,0,0,0,R44,10
0,0,0,64,R45,9
285,0,0,0,R45,10
0,0,0,49,S46,9
260,0,0,0,S46,10
0,0,0,58,S47,9
240,0,0,0,S47,10
0,0,0,53,S48,9
190,0,0,0,S48,10
0,0,0,68,S410,9
430,0,0,0,S410,10
0,0,0,68,M411,9
370,0,0,0,M411,10
0,0,0,54,M412,9
260,0,0,0,M412,10
0,0,0,69,R52,9
460,0,0,0,R52,10
0,0,0,72,R53,9
480,0,0,0,R53,10
0,0,0,67,R54,9
265,0,0,0,R54,10
0,0,0,64,R55,9
235,0,0,0,R55,10
0,0,0,49,S56,9
210,0,0,0,S56,10
0,0,0,40,S57,9
190,0,0,0,S57,10
0,0,0,39,S58,9
185,0,0,0,S58,10
0,0,0,52,S59,9
380,0,0,0,S59,10
0,0,0,65,S510,9
270,0,0,0,S510,10
0,0,0,69,M511,9
415,0,0,0,M511,10
0,0,0,56,M512,9
260,0,0,0,M512,10
0,0,0,72,R61,9
480,0,0,0,R61,10
0,0,0,74,R62,9
420,0,0,0,R62,10
0,0,0,71,R63,9
450,0,0,0,R63,10
0,0,0,62,R64,9
300,0,0,0,R64,10
0,0,0,63,R65,9
300,0,0,0,R65,10
0,0,0,47,S66,9
230,0,0,0,S66,10
0,0,0,50,S67,9
210,0,0,0,S67,10
0,0,0,61,S68,9
280,0,0,0,S68,10
0,0,0,52,S69,9
350,0,0,0,S69,10
0,0,0,63,S610,9
410,0,0,0,S610,10
0,0,0,53,M612,9
250,0,0,0,M612,10
0,0,0,60,R71,9
370,0,0,0,R71,10
0,0,0,75,R72,9
410,0,0,0,R72,10
0,0,0,87,R73,9
470,0,0,0,R73,10
0,0,0,63,R74,9
320,0,0,0,R74,10
0,0,0,61,R75,9
250,0,0,0,R75,10
0,0,0,53,S76,9
240,0,0,0,S76,10
0,0,0,55,S77,9
215,0,0,0,S77,10
0,0,0,44,S78,9
210,0,0,0,S78,10
0,0,0,63,S79,9
470,0,0,0,S79,10
0,0,0,65,S710,9
370,0,0,0,S710,10
0,0,0,71,S711,9
290,0,0,0,S711,10
0,0,0,67,M712,9
380,0,0,0,M712,10
0,0,0,79,R81,9
470,0,0,0,R81,10
0,0,0,72,R82,9
460,0,0,0,R82,10
